商品ID,商品自定义ID,商品条形码,商品名称,货架号,所属品牌,前台一级分类,前台二级分类,后台一级分类,后台二级分类,后台三级分类,商品属性,销售价格,库存数量,是否上线,每单限购,商品类型,重量(g)
15761343830744793,,6911988000286,达利园好吃点核桃酥146g,,龙须,休闲零食,饼干点心,休闲食品,饼干类,营养/消化饼干,,5,3,上线,不限购,标品,146
15761343830744646,,6921168593620,农夫山泉水柠檬530ml,,农夫山泉,酒水饮料,综合饮料,饮料,果汁饮料,单种果汁饮料,,4.5,4,上线,不限购,标品,530
15761343830744580,,6925489701290,丹夫扭仔大酥海盐焦糖味60g,,其他,休闲零食,饼干点心,休闲食品,糕点类,酥饼/馅饼,,7.8,4,上线,不限购,非标品,60
15761343830744475,,6920907807943,好丽友蘑古力酸奶味41g,,好丽友,休闲零食,饼干点心,休闲食品,饼干类,燕麦/巧克力饼干,,5,5,上线,不限购,标品,41
15761343830744822,,6939249403034,龙大肉食泡椒凤爪30g,,龙大,休闲零食,即食食品,休闲食品,肉干肉脯,鸡肉类,,2.5,0,上线,不限购,标品,30
15761343830744620,,4897022620301,京都念慈菴金桔柠檬糖60g,,念慈菴,休闲零食,即食食品,休闲食品,糖果类,硬糖,,25,13,上线,不限购,标品,60
15761343830744889,,6920907808070,好丽友蘑古力装饰饼干红豆巧克力味48g,,好丽友,休闲零食,饼干点心,休闲食品,饼干类,燕麦/巧克力饼干,,5,4,上线,不限购,标品,48
15761343830744744,,6936588315028,湘姿元原来是鱼小鱼仔17g,,其他,休闲零食,即食食品,休闲食品,海产品,鱼类,,1.8,12,上线,不限购,非标品,17
15761343830744690,,6971372301511,吟果榴莲腰果40g,,其他,休闲零食,干果炒货,休闲食品,坚果炒货,腰果类,,15.6,0,上线,不限购,非标品,40
15761343830744464,,6932522001194,公社联盟糖葫芦25g,,公社联盟,休闲零食,膨化食品,蔬菜,茄果类,西葫芦,,6,4,上线,不限购,非标品,25
